case_id,pers_id,sentence_date,release_date,crime_type,ed_level,original_sentence_date,original_release_date,original_release_date_plus_1,original_release_date_plus_2,original_release_date_plus_3
4,220,2008-10-29T00:00:00Z,2010-12-09T00:00:00Z,Drug,Less than high school,2008-10-29T00:00:00Z,2010-12-09T00:00:00Z,2011-12-09T00:00:00Z,2012-12-09T00:00:00Z,2013-12-09T00:00:00Z
7,545,2007-12-02T00:00:00Z,2010-08-24T00:00:00Z,Drug,High school degree,2007-12-02T00:00:00Z,2010-08-24T00:00:00Z,2011-08-24T00:00:00Z,2012-08-24T00:00:00Z,2013-08-24T00:00:00Z
8,545,2013-04-28T00:00:00Z,2013-12-04T00:00:00Z,Property,High school degree,2007-12-02T00:00:00Z,2010-08-24T00:00:00Z,2011-08-24T00:00:00Z,2012-08-24T00:00:00Z,2013-08-24T00:00:00Z
12,870,2008-04-14T00:00:00Z,2010-10-12T00:00:00Z,Violent,Associate degree,2008-04-14T00:00:00Z,2010-10-12T00:00:00Z,2011-10-12T00:00:00Z,2012-10-12T00:00:00Z,2013-10-12T00:00:00Z
13,870,2011-06-08T00:00:00Z,2012-02-22T00:00:00Z,Drug,Associate degree,2008-04-14T00:00:00Z,2010-10-12T00:00:00Z,2011-10-12T00:00:00Z,2012-10-12T00:00:00Z,2013-10-12T00:00:00Z
17,1090,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,Drug,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
17,1090,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,Drug,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
17,1090,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,Public,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
17,1090,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,Public,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
18,1090,2011-04-12T00:00:00Z,2012-11-17T00:00:00Z,Public,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
18,1090,2011-04-12T00:00:00Z,2012-11-17T00:00:00Z,Public,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
18,1090,2011-04-12T00:00:00Z,2012-11-17T00:00:00Z,Violent,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
18,1090,2011-04-12T00:00:00Z,2012-11-17T00:00:00Z,Violent,Some college,2008-09-18T00:00:00Z,2010-02-17T00:00:00Z,2011-02-17T00:00:00Z,2012-02-17T00:00:00Z,2013-02-17T00:00:00Z
22,1415,2007-05-19T00:00:00Z,2010-03-17T00:00:00Z,Property,Less than high school,2007-05-19T00:00:00Z,2010-03-17T00:00:00Z,2011-03-17T00:00:00Z,2012-03-17T00:00:00Z,2013-03-17T00:00:00Z
23,1415,2011-10-04T00:00:00Z,2013-09-03T00:00:00Z,Drug,Less than high school,2007-05-19T00:00:00Z,2010-03-17T00:00:00Z,2011-03-17T00:00:00Z,2012-03-17T00:00:00Z,2013-03-17T00:00:00Z
27,1740,2009-08-28T00:00:00Z,2010-09-14T00:00:00Z,Drug,Bachelor's degree or higher',2009-08-28T00:00:00Z,2010-09-14T00:00:00Z,2011-09-14T00:00:00Z,2012-09-14T00:00:00Z,2013-09-14T00:00:00Z
28,1740,2012-03-17T00:00:00Z,2013-05-23T00:00:00Z,Drug,Bachelor's degree or higher',2009-08-28T00:00:00Z,2010-09-14T00:00:00Z,2011-09-14T00:00:00Z,2012-09-14T00:00:00Z,2013-09-14T00:00:00Z
36,2285,2008-07-25T00:00:00Z,2010-09-06T00:00:00Z,Violent,Associate degree,2008-07-25T00:00:00Z,2010-09-06T00:00:00Z,2011-09-06T00:00:00Z,2012-09-06T00:00:00Z,2013-09-06T00:00:00Z
37,2285,2012-07-30T00:00:00Z,2013-10-27T00:00:00Z,Drug,Associate degree,2008-07-25T00:00:00Z,2010-09-06T00:00:00Z,2011-09-06T00:00:00Z,2012-09-06T00:00:00Z,2013-09-06T00:00:00Z
41,2610,2010-03-22T00:00:00Z,2010-07-04T00:00:00Z,Property,Associate degree,2010-03-22T00:00:00Z,2010-07-04T00:00:00Z,2011-07-04T00:00:00Z,2012-07-04T00:00:00Z,2013-07-04T00:00:00Z
48,3155,2008-06-15T00:00:00Z,2010-08-22T00:00:00Z,Violent,Associate degree,2008-06-15T00:00:00Z,2010-08-22T00:00:00Z,2011-08-22T00:00:00Z,2012-08-22T00:00:00Z,2013-08-22T00:00:00Z
49,3155,2013-04-26T00:00:00Z,2013-08-05T00:00:00Z,Property,Associate degree,2008-06-15T00:00:00Z,2010-08-22T00:00:00Z,2011-08-22T00:00:00Z,2012-08-22T00:00:00Z,2013-08-22T00:00:00Z
52,3480,2009-01-04T00:00:00Z,2010-08-30T00:00:00Z,Violent,High school degree,2009-01-04T00:00:00Z,2010-08-30T00:00:00Z,2011-08-30T00:00:00Z,2012-08-30T00:00:00Z,2013-08-30T00:00:00Z
53,3480,2012-08-14T00:00:00Z,2014-10-13T00:00:00Z,Drug,High school degree,2009-01-04T00:00:00Z,2010-08-30T00:00:00Z,2011-08-30T00:00:00Z,2012-08-30T00:00:00Z,2013-08-30T00:00:00Z
